GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000510,MIA,0,240,82,12,28,35,27,8,7,16,21,CHI,89,5,30,41,28,11,6,14,21
29000513,DET,1,240,82,5,23,40,26,9,4,11,16,BOS,78,2,14,37,22,2,6,16,21
29000512,IND,0,240,80,8,30,40,25,4,3,16,21,LAL,88,14,30,29,24,8,4,9,24
29000515,SAC,1,240,78,5,21,43,27,7,4,15,23,HOU,82,9,31,43,19,8,2,15,22
29000511,DEN,1,240,99,7,27,52,24,9,5,13,22,MIN,108,4,25,58,19,9,5,13,23
29000516,WAS,1,240,96,1,26,46,36,5,9,14,28,ORL,102,9,28,47,30,8,3,14,21
29000517,GOS,1,240,85,9,37,32,26,17,5,17,23,HOU,86,13,27,43,25,10,2,24,28
29000521,SAN,1,240,86,6,20,38,31,9,10,20,15,LAC,102,6,10,55,25,10,7,20,20
29000519,ORL,0,240,92,8,26,42,21,6,2,15,20,LAL,92,10,21,41,30,7,5,12,24
29000520,POR,1,240,77,10,50,46,22,10,4,25,26,PHX,95,8,31,37,33,10,2,13,33
29000522,ATL,1,240,89,12,34,44,30,10,4,15,23,MIA,85,5,32,47,21,12,5,18,29
29000523,CHH,0,240,83,3,28,43,21,6,2,11,19,NJN,79,2,27,42,20,3,8,12,22
29000518,SEA,1,240,92,8,23,44,35,17,4,20,25,MIL,76,11,32,30,19,14,2,24,20
29000529,PHL,0,240,78,9,33,36,17,9,2,17,20,IND,91,5,19,39,29,10,3,11,27
29000526,NJN,1,240,77,10,37,44,16,5,8,18,30,CHI,83,3,33,38,11,13,5,15,26
29000524,BOS,1,240,84,1,24,42,28,7,8,10,22,DET,92,3,23,41,18,7,8,10,19
29000528,UTH,0,240,87,5,22,35,27,8,8,8,17,NYK,89,7,15,46,27,5,12,12,19
29000525,DAL,0,240,85,8,16,39,24,4,6,15,21,CLE,79,3,33,46,20,8,4,11,19
29000527,SAC,1,240,72,6,29,38,23,8,8,18,25,MIL,72,7,29,29,22,13,4,20,29
29000530,WAS,1,240,96,5,15,54,29,5,6,15,20,ATL,103,13,13,48,18,6,5,12,17
29000532,SAN,1,240,79,3,40,42,26,11,7,13,28,CLE,76,2,35,36,22,6,4,17,35
29000531,HOU,1,240,91,6,21,53,33,9,2,18,13,MIN,86,4,18,32,16,13,4,13,18
29000533,DEN,1,240,121,14,23,62,25,11,9,14,25,NYK,89,4,38,49,28,9,6,20,24
29000534,CHH,0,240,99,5,15,37,24,12,3,12,18,LAL,79,8,21,43,37,11,8,19,15
29000540,GOS,1,240,93,14,18,44,28,11,6,17,37,MIL,75,5,47,41,21,8,2,25,23
29000542,PHL,1,240,88,8,23,35,27,15,11,11,14,BOS,88,3,11,44,27,6,4,22,15
29000537,CHI,1,240,81,9,25,52,31,12,6,25,24,MIA,88,8,24,38,21,16,6,23,25
29000541,PHX,1,240,67,8,46,34,35,10,15,17,27,SEA,99,9,35,42,27,10,2,16,32
29000536,NJN,0,265,99,8,13,33,24,12,11,13,19,LAL,80,5,38,46,22,8,5,15,18
29000535,DET,1,240,69,4,20,40,22,4,4,11,17,DAL,79,6,20,39,17,8,2,7,19
29000538,UTH,1,240,65,3,50,49,20,7,5,26,28,SAC,86,7,31,35,20,13,6,14,34
29000539,WAS,0,240,85,5,25,37,31,10,7,18,24,IND,84,4,31,45,27,9,3,22,19
29000552,WAS,0,240,96,5,15,43,22,3,0,7,19,DAL,71,2,17,37,24,6,5,10,19
